"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41","OpenApi Schema loads","End To End Tests","Fri Apr 11 04:34:33 GMT 2025","passed","Fri Apr 11 04:34:33 GMT 2025","","","",""
"","605","Test Stream Pagination","End To End Tests","Fri Apr 11 04:34:18 GMT 2025","passed","Fri Apr 11 04:34:19 GMT 2025","Data Stream Tests","Typescript Client","",""
"","5","testAuthorizeWriteFailsDueToOperationPolicy()","Structures Core","Fri Apr 11 04:31:19 GMT 2025","passed","Fri Apr 11 04:31:19 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWriteFailsDueToOperationPolicy"
"","507","testCount()","Structures Core","Fri Apr 11 04:31:14 GMT 2025","passed","Fri Apr 11 04:31:15 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCount"
"","44","Can get person by ID","End To End Tests","Fri Apr 11 04:34:05 GMT 2025","passed","Fri Apr 11 04:34:05 GMT 2025","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","611","Test Save Multiple","End To End Tests","Fri Apr 11 04:34:24 GMT 2025","passed","Fri Apr 11 04:34:24 GMT 2025","Named Query Tests","Typescript Client","",""
"","1","testPolicyEvaluatorWithoutOperations()","Structures Core","Fri Apr 11 04:31:19 GMT 2025","passed","Fri Apr 11 04:31:19 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithoutOperations"
"","451","Test Update Fails","End To End Tests","Fri Apr 11 04:34:28 GMT 2025","passed","Fri Apr 11 04:34:29 GMT 2025","Versioned Tests","Typescript Client","",""
"","760","Aggregate With Parameter Test","End To End Tests","Fri Apr 11 04:34:22 GMT 2025","passed","Fri Apr 11 04:34:23 GMT 2025","Named Query Tests","Typescript Client","",""
"","8148","Aggregate Test","End To End Tests","Fri Apr 11 04:34:14 GMT 2025","passed","Fri Apr 11 04:34:22 GMT 2025","Named Query Tests","Typescript Client","",""
"","560","testFindAll()","Structures Core","Fri Apr 11 04:31:14 GMT 2025","passed","Fri Apr 11 04:31:14 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindAll"
"","803","Test Bulk Stream Write","End To End Tests","Fri Apr 11 04:34:16 GMT 2025","passed","Fri Apr 11 04:34:17 GMT 2025","Data Stream Tests","Typescript Client","",""
"","2511","testNamedQuery()","Structures Core","Fri Apr 11 04:31:17 GMT 2025","passed","Fri Apr 11 04:31:19 GMT 2025","","org.kinotic.structures.entity.NamedQueryTests","org.kinotic.structures.entity.NamedQueryTests","testNamedQuery"
"","430","testSearch()","Structures Core","Fri Apr 11 04:31:16 GMT 2025","passed","Fri Apr 11 04:31:17 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testSearch"
"","6389","testMultiTenantSearch()","Structures Core","Fri Apr 11 04:31:07 GMT 2025","passed","Fri Apr 11 04:31:13 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testMultiTenantSearch"
"","205","testFindById()","Structures Core","Fri Apr 11 04:31:15 GMT 2025","passed","Fri Apr 11 04:31:15 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindById"
"","1451","Test CountByQuery and DeleteByQuery","End To End Tests","Fri Apr 11 04:34:09 GMT 2025","passed","Fri Apr 11 04:34:11 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","1594","Test Alert Schema Evolution - Remove Field (Breaking)","End To End Tests","Fri Apr 11 04:34:20 GMT 2025","passed","Fri Apr 11 04:34:22 GMT 2025","Data Stream Tests","Typescript Client","",""
"","86","Can create a person","End To End Tests","Fri Apr 11 04:34:05 GMT 2025","passed","Fri Apr 11 04:34:05 GMT 2025","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","476","OpenApi Schema loads","End To End Tests","Fri Apr 11 04:34:04 GMT 2025","passed","Fri Apr 11 04:34:05 GMT 2025","","OpenAPI Client","",""
"","2097","bulkUpdateObjectWithMultipleIds()","Structures Core","Fri Apr 11 04:31:04 GMT 2025","passed","Fri Apr 11 04:31:06 GMT 2025","","org.kinotic.structures.entity.BulkUpdateTests","org.kinotic.structures.entity.BulkUpdateTests","bulkUpdateObjectWithMultipleIds"
"","22","OpenApi Schema loads","End To End Tests","Fri Apr 11 04:34:34 GMT 2025","passed","Fri Apr 11 04:34:34 GMT 2025","","","",""
"","1049","Test CountByQuery and DeleteByQuery","End To End Tests","Fri Apr 11 04:34:08 GMT 2025","passed","Fri Apr 11 04:34:09 GMT 2025","EntityService Tests","Typescript Client","",""
"","665","Test Stream Time Range Search","End To End Tests","Fri Apr 11 04:34:18 GMT 2025","passed","Fri Apr 11 04:34:18 GMT 2025","Data Stream Tests","Typescript Client","",""
"","2","testPolicyEvaluatorWithSuccessfulLastName()","Structures Core","Fri Apr 11 04:31:19 GMT 2025","passed","Fri Apr 11 04:31:19 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulLastName"
"","775","Test Alert Schema Evolution - Add Field (Non-Breaking)","End To End Tests","Fri Apr 11 04:34:20 GMT 2025","passed","Fri Apr 11 04:34:20 GMT 2025","Data Stream Tests","Typescript Client","",""
