"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","172","testCreateAndDeleteItem()","","Mon Jan 27 23:29:51 GMT 2025","passed","Mon Jan 27 23:29:51 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCreateAndDeleteItem"
"","56","createStructureWithSameNameError()","","Mon Jan 27 23:29:57 GMT 2025","passed","Mon Jan 27 23:29:57 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","createStructureWithSameNameError"
"","2765","Aggregate With Parameter Test","NamedQueryTest","Mon Jan 27 23:32:54 GMT 2025","passed","Mon Jan 27 23:32:57 GMT 2025","","","",""
"","457","testCreateAndDeleteByQuery()","","Mon Jan 27 23:29:53 GMT 2025","passed","Mon Jan 27 23:29:53 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCreateAndDeleteByQuery"
"","1","testAuthorizeWithEntityOnlyPolicies()","","Mon Jan 27 23:29:57 GMT 2025","passed","Mon Jan 27 23:29:57 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithEntityOnlyPolicies"
"","1","testPolicyEvaluatorWithSuccessfulLastName()","","Mon Jan 27 23:29:57 GMT 2025","passed","Mon Jan 27 23:29:57 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulLastName"
"","258","testFindByIdsNoneFound()","","Mon Jan 27 23:29:52 GMT 2025","passed","Mon Jan 27 23:29:52 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindByIdsNoneFound"
"","2392","Aggregate Pageable Test","NamedQueryTest","Mon Jan 27 23:32:57 GMT 2025","broken","Mon Jan 27 23:32:59 GMT 2025","","","",""
"","41","tryOperationOnNotPublishedStructure()","","Mon Jan 27 23:29:57 GMT 2025","passed","Mon Jan 27 23:29:57 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","tryOperationOnNotPublishedStructure"
"","2342","Test Cursor Based Paging With Iterator","EntityServiceTest","Mon Jan 27 23:33:07 GMT 2025","passed","Mon Jan 27 23:33:09 GMT 2025","","","",""
"","2546","Test FindByIds and None Found","EntityServiceTest","Mon Jan 27 23:32:55 GMT 2025","passed","Mon Jan 27 23:32:57 GMT 2025","","","",""
"","6","testAuthorizeWithNoPoliciesOnStructure()","","Mon Jan 27 23:29:57 GMT 2025","passed","Mon Jan 27 23:29:57 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithNoPoliciesOnStructure"
"","193","findMissingEntity()","","Mon Jan 27 23:29:53 GMT 2025","passed","Mon Jan 27 23:29:53 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","findMissingEntity"
"","2294","Test Offset Based Paging With Iterator Uneven Pages","EntityServiceTest","Mon Jan 27 23:33:16 GMT 2025","passed","Mon Jan 27 23:33:18 GMT 2025","","","",""
"","477","testFindAll()","","Mon Jan 27 23:29:51 GMT 2025","passed","Mon Jan 27 23:29:51 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindAll"
"","2350","Test CountByQuery","EntityServiceTest","Mon Jan 27 23:32:57 GMT 2025","passed","Mon Jan 27 23:33:00 GMT 2025","","","",""
"","2209","Test Cursor Based Paging With Iterator Single Page","EntityServiceTest","Mon Jan 27 23:33:11 GMT 2025","passed","Mon Jan 27 23:33:13 GMT 2025","","","",""
"","1092","Test Basic CRUD","EntityServiceTest","Mon Jan 27 23:32:51 GMT 2025","passed","Mon Jan 27 23:32:52 GMT 2025","","","",""
"","2253","Test Cursor Based Paging With Iterator Uneven Pages","EntityServiceTest","Mon Jan 27 23:33:09 GMT 2025","passed","Mon Jan 27 23:33:11 GMT 2025","","","",""
"","216","testFindById()","","Mon Jan 27 23:29:53 GMT 2025","passed","Mon Jan 27 23:29:53 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindById"
"","139","testFindByIds()","","Mon Jan 27 23:29:53 GMT 2025","passed","Mon Jan 27 23:29:54 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindByIds"
"","4","testAuthorizeReadFailsDueToFieldPolicy()","","Mon Jan 27 23:29:57 GMT 2025","passed","Mon Jan 27 23:29:57 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadFailsDueToFieldPolicy"
"","149","tryOperationsOnPublishedStructure()","","Mon Jan 27 23:29:57 GMT 2025","passed","Mon Jan 27 23:29:57 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","tryOperationsOnPublishedStructure"
"","2313","Test Offset Based Paging With Iterator","EntityServiceTest","Mon Jan 27 23:33:14 GMT 2025","passed","Mon Jan 27 23:33:16 GMT 2025","","","",""
"","574","testCount()","","Mon Jan 27 23:29:51 GMT 2025","passed","Mon Jan 27 23:29:52 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCount"
"","2278","Test All","NamedQueryTest","Mon Jan 27 23:32:59 GMT 2025","passed","Mon Jan 27 23:33:02 GMT 2025","","","",""
"","1","testPolicyEvaluatorWithFailedOperations()","","Mon Jan 27 23:29:57 GMT 2025","passed","Mon Jan 27 23:29:57 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithFailedOperations"
"","2643","Test FindByIds","EntityServiceTest","Mon Jan 27 23:32:52 GMT 2025","passed","Mon Jan 27 23:32:55 GMT 2025","","","",""
"","2275","bulkUpdateObjectWithMultipleIds()","","Mon Jan 27 23:29:38 GMT 2025","passed","Mon Jan 27 23:29:40 GMT 2025","","org.kinotic.structures.entity.BulkUpdateTests","org.kinotic.structures.entity.BulkUpdateTests","bulkUpdateObjectWithMultipleIds"
"","597","testBulk()","","Mon Jan 27 23:29:41 GMT 2025","passed","Mon Jan 27 23:29:41 GMT 2025","","org.kinotic.structures.entity.BulkUpdateTests","org.kinotic.structures.entity.BulkUpdateTests","testBulk"
"","16","createStructureInvalidField()","","Mon Jan 27 23:29:57 GMT 2025","passed","Mon Jan 27 23:29:57 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","createStructureInvalidField"
"","4341","Test CountByQuery and DeleteByQuery","EntityServiceTest","Mon Jan 27 23:33:00 GMT 2025","passed","Mon Jan 27 23:33:04 GMT 2025","","","",""
"","302","bulkSaveObjectWithMultipleIds()","","Mon Jan 27 23:29:41 GMT 2025","passed","Mon Jan 27 23:29:41 GMT 2025","","org.kinotic.structures.entity.BulkUpdateTests","org.kinotic.structures.entity.BulkUpdateTests","bulkSaveObjectWithMultipleIds"
"","2667","testNamedQuery()","","Mon Jan 27 23:29:54 GMT 2025","passed","Mon Jan 27 23:29:57 GMT 2025","","org.kinotic.structures.entity.NamedQueryTests","org.kinotic.structures.entity.NamedQueryTests","testNamedQuery"
"","1","testAuthorizeDeniedWithEntityOnlyPolicies()","","Mon Jan 27 23:29:57 GMT 2025","passed","Mon Jan 27 23:29:57 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeDeniedWithEntityOnlyPolicies"
"","186","Test Offset Based Paging With Iterator No Data","EntityServiceTest","Mon Jan 27 23:33:20 GMT 2025","passed","Mon Jan 27 23:33:21 GMT 2025","","","",""
"","0","testAuthorizeWriteOperationFails()","","Mon Jan 27 23:29:57 GMT 2025","passed","Mon Jan 27 23:29:57 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWriteOperationFails"
"","3144","Aggregate Test","NamedQueryTest","Mon Jan 27 23:32:51 GMT 2025","broken","Mon Jan 27 23:32:54 GMT 2025","","","",""
"","1","testAuthorizeWriteFailsDueToOperationPolicy()","","Mon Jan 27 23:29:57 GMT 2025","passed","Mon Jan 27 23:29:57 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWriteFailsDueToOperationPolicy"
"","2","Test Query Decorator calls parent","QueryDecorator","Mon Jan 27 23:32:51 GMT 2025","passed","Mon Jan 27 23:32:51 GMT 2025","","","",""
"","2371","Test Cursor Based Paging","EntityServiceTest","Mon Jan 27 23:33:04 GMT 2025","passed","Mon Jan 27 23:33:07 GMT 2025","","","",""
"","1","testSharedPolicyManagerInitialization()","","Mon Jan 27 23:29:57 GMT 2025","passed","Mon Jan 27 23:29:57 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testSharedPolicyManagerInitialization"
"","29","createAndDeleteNamespace()","","Mon Jan 27 23:29:57 GMT 2025","passed","Mon Jan 27 23:29:57 GMT 2025","","org.kinotic.structures.namespace.NamespaceTests","org.kinotic.structures.namespace.NamespaceTests","createAndDeleteNamespace"
"","1","testPolicyEvaluatorWithoutOperations()","","Mon Jan 27 23:29:57 GMT 2025","passed","Mon Jan 27 23:29:57 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithoutOperations"
"","242","createPublishAndDeleteStructure()","","Mon Jan 27 23:29:57 GMT 2025","passed","Mon Jan 27 23:29:57 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","createPublishAndDeleteStructure"
"","506","testCountByQuery()","","Mon Jan 27 23:29:50 GMT 2025","passed","Mon Jan 27 23:29:51 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCountByQuery"
