"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1558","Test FindByIds and None Found","End To End Tests","Tue Jun 17 07:56:47 GMT 2025","passed","Tue Jun 17 07:56:49 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","662","Aggregate Pageable Test","End To End Tests","Tue Jun 17 07:57:03 GMT 2025","passed","Tue Jun 17 07:57:04 GMT 2025","Named Query Tests","Typescript Client","",""
"","595","Test Cursor Based Paging With Iterator Single Page","End To End Tests","Tue Jun 17 07:56:53 GMT 2025","passed","Tue Jun 17 07:56:54 GMT 2025","EntityService Tests","Typescript Client","",""
"","1663","Test FindByIds","End To End Tests","Tue Jun 17 07:56:46 GMT 2025","passed","Tue Jun 17 07:56:47 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","18","createStructureInvalidField()","Structures Core","Tue Jun 17 07:53:33 GMT 2025","passed","Tue Jun 17 07:53:33 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","createStructureInvalidField"
"","217","testPartialUpdate()","Structures Core","Tue Jun 17 07:53:28 GMT 2025","passed","Tue Jun 17 07:53:28 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testPartialUpdate"
"","27","createAndDeleteNamespace()","Structures Core","Tue Jun 17 07:53:32 GMT 2025","passed","Tue Jun 17 07:53:32 GMT 2025","","org.kinotic.structures.namespace.NamespaceTests","org.kinotic.structures.namespace.NamespaceTests","createAndDeleteNamespace"
"","235","Can find people by IDs across specific tenants","End To End Tests","Tue Jun 17 07:56:46 GMT 2025","passed","Tue Jun 17 07:56:46 GMT 2025","Multitenant Selection Operations","OpenAPI Client","",""
"","217","testCreateAndDeleteItem()","Structures Core","Tue Jun 17 07:53:26 GMT 2025","passed","Tue Jun 17 07:53:26 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCreateAndDeleteItem"
"","42","OpenApi Schema loads","End To End Tests","Tue Jun 17 07:57:12 GMT 2025","passed","Tue Jun 17 07:57:12 GMT 2025","","","",""
"","665","testSearch()","Structures Core","Tue Jun 17 07:53:29 GMT 2025","passed","Tue Jun 17 07:53:30 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testSearch"
"","1","testPolicyEvaluatorWithSuccessfulLastName()","Structures Core","Tue Jun 17 07:53:32 GMT 2025","passed","Tue Jun 17 07:53:32 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulLastName"
"","6963","Test Basic CRUD","End To End Tests","Tue Jun 17 07:57:00 GMT 2025","passed","Tue Jun 17 07:57:07 GMT 2025","Versioned Tests","Typescript Client","",""
"","829","Test FindByIds","End To End Tests","Tue Jun 17 07:57:08 GMT 2025","passed","Tue Jun 17 07:57:09 GMT 2025","Versioned Tests","Typescript Client","",""
