"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1152","Test FindByIds and None Found","End To End Tests","Thu Jun 26 08:24:19 GMT 2025","passed","Thu Jun 26 08:24:20 GMT 2025","EntityService Tests","Typescript Client","",""
"","1014","Test Cursor Based Paging With Iterator","End To End Tests","Thu Jun 26 08:24:23 GMT 2025","passed","Thu Jun 26 08:24:24 GMT 2025","EntityService Tests","Typescript Client","",""
"","1020","Test CountByQuery","End To End Tests","Thu Jun 26 08:24:20 GMT 2025","passed","Thu Jun 26 08:24:21 GMT 2025","EntityService Tests","Typescript Client","",""
"","266","testPartialUpdate()","Structures Core","Thu Jun 26 08:20:26 GMT 2025","passed","Thu Jun 26 08:20:26 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testPartialUpdate"
"","431","Test Update Fails","End To End Tests","Thu Jun 26 08:24:39 GMT 2025","passed","Thu Jun 26 08:24:40 GMT 2025","Versioned Tests","Typescript Client","",""
"","43","tryOperationOnNotPublishedStructure()","Structures Core","Thu Jun 26 08:20:31 GMT 2025","passed","Thu Jun 26 08:20:31 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","tryOperationOnNotPublishedStructure"
"","672","Test Cursor Based Paging With Iterator No Data","End To End Tests","Thu Jun 26 08:24:25 GMT 2025","passed","Thu Jun 26 08:24:26 GMT 2025","EntityService Tests","Typescript Client","",""
"","296","bulkSaveObjectWithMultipleIds()","Structures Core","Thu Jun 26 08:20:18 GMT 2025","passed","Thu Jun 26 08:20:18 GMT 2025","","org.kinotic.structures.entity.BulkUpdateTests","org.kinotic.structures.entity.BulkUpdateTests","bulkSaveObjectWithMultipleIds"
"","1","testPolicyEvaluatorWithSuccessfulOperations()","Structures Core","Thu Jun 26 08:20:30 GMT 2025","passed","Thu Jun 26 08:20:30 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulOperations"
"","82","Can create a person","End To End Tests","Thu Jun 26 08:24:16 GMT 2025","passed","Thu Jun 26 08:24:17 GMT 2025","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","634","Test Bulk CRUD","End To End Tests","Thu Jun 26 08:24:28 GMT 2025","passed","Thu Jun 26 08:24:29 GMT 2025","EntityService Tests","Typescript Client","",""
"","625","Test Delete By Query","End To End Tests","Thu Jun 26 08:24:30 GMT 2025","passed","Thu Jun 26 08:24:31 GMT 2025","Data Stream Tests","Typescript Client","",""
"","1324","Test CountByQuery","End To End Tests","Thu Jun 26 08:24:20 GMT 2025","passed","Thu Jun 26 08:24:21 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","1224","Test Bulk CRUD","End To End Tests","Thu Jun 26 08:24:22 GMT 2025","passed","Thu Jun 26 08:24:24 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","1214","Test FindByIds and None Found","End To End Tests","Thu Jun 26 08:24:19 GMT 2025","passed","Thu Jun 26 08:24:20 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","282","testFindByIdsNoneFound()","Structures Core","Thu Jun 26 08:20:26 GMT 2025","passed","Thu Jun 26 08:20:26 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindByIdsNoneFound"
"","22","OpenApi Schema loads","End To End Tests","Thu Jun 26 08:24:45 GMT 2025","passed","Thu Jun 26 08:24:45 GMT 2025","","","",""
"","94","Can get person by ID","End To End Tests","Thu Jun 26 08:24:17 GMT 2025","passed","Thu Jun 26 08:24:17 GMT 2025","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","106","Can count people across specific tenants","End To End Tests","Thu Jun 26 08:24:17 GMT 2025","passed","Thu Jun 26 08:24:17 GMT 2025","Multitenant Selection Operations","OpenAPI Client","",""
"","506","testCountByQuery()","Structures Core","Thu Jun 26 08:20:24 GMT 2025","passed","Thu Jun 26 08:20:24 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCountByQuery"
"","561","Test Stream Time Range Search","End To End Tests","Thu Jun 26 08:24:29 GMT 2025","passed","Thu Jun 26 08:24:29 GMT 2025","Data Stream Tests","Typescript Client","",""
