"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1171","Test CountByQuery","End To End Tests","Wed Sep 24 08:54:17 GMT 2025","passed","Wed Sep 24 08:54:18 GMT 2025","EntityService Tests","Typescript Client","",""
"","942","Test Offset Based Paging With Iterator","End To End Tests","Wed Sep 24 08:54:23 GMT 2025","passed","Wed Sep 24 08:54:24 GMT 2025","EntityService Tests","Typescript Client","",""
"","1301","createAndDeleteApplication()","Structures Core","Wed Sep 24 08:47:40 GMT 2025","passed","Wed Sep 24 08:47:41 GMT 2025","","org.kinotic.structures.application.ApplicationTests","org.kinotic.structures.application.ApplicationTests","createAndDeleteApplication"
"","77","Can get person by ID","End To End Tests","Wed Sep 24 08:54:12 GMT 2025","passed","Wed Sep 24 08:54:13 GMT 2025","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","2572","testNamedQuery()","Structures Core","Wed Sep 24 08:47:58 GMT 2025","passed","Wed Sep 24 08:48:00 GMT 2025","","org.kinotic.structures.entity.NamedQueryTests","org.kinotic.structures.entity.NamedQueryTests","testNamedQuery"
"","223","Can count people across specific tenants","End To End Tests","Wed Sep 24 08:54:13 GMT 2025","passed","Wed Sep 24 08:54:13 GMT 2025","Multitenant Selection Operations","OpenAPI Client","",""
"","244","createPublishAndDeleteStructure()","Structures Core","Wed Sep 24 08:48:01 GMT 2025","passed","Wed Sep 24 08:48:01 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","createPublishAndDeleteStructure"
"","141","tryOperationsOnPublishedStructure()","Structures Core","Wed Sep 24 08:48:01 GMT 2025","passed","Wed Sep 24 08:48:01 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","tryOperationsOnPublishedStructure"
"","839","Aggregate With Parameter Test","End To End Tests","Wed Sep 24 08:54:31 GMT 2025","passed","Wed Sep 24 08:54:32 GMT 2025","Named Query Tests","Typescript Client","",""
"","697","Test Offset Based Paging With Iterator Single Page","End To End Tests","Wed Sep 24 08:54:25 GMT 2025","passed","Wed Sep 24 08:54:26 GMT 2025","EntityService Tests","Typescript Client","",""
"","7541","Aggregate With Parameter and Tenant Selection Test","End To End Tests","Wed Sep 24 08:54:33 GMT 2025","passed","Wed Sep 24 08:54:41 GMT 2025","Admin Named Query Tests","Typescript Client","",""
"","638","Aggregate Pageable Test","End To End Tests","Wed Sep 24 08:54:32 GMT 2025","passed","Wed Sep 24 08:54:33 GMT 2025","Named Query Tests","Typescript Client","",""
"","609","Test Offset Based Paging With Iterator No Data","End To End Tests","Wed Sep 24 08:54:26 GMT 2025","passed","Wed Sep 24 08:54:27 GMT 2025","EntityService Tests","Typescript Client","",""
"","7345","Test Basic CRUD","End To End Tests","Wed Sep 24 08:54:29 GMT 2025","passed","Wed Sep 24 08:54:37 GMT 2025","Versioned Tests","Typescript Client","",""
"","197","testFindById()","Structures Core","Wed Sep 24 08:47:56 GMT 2025","passed","Wed Sep 24 08:47:56 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindById"
"","436","bulkSaveObjectWithMultipleIds()","Structures Core","Wed Sep 24 08:47:43 GMT 2025","passed","Wed Sep 24 08:47:44 GMT 2025","","org.kinotic.structures.entity.BulkUpdateTests","org.kinotic.structures.entity.BulkUpdateTests","bulkSaveObjectWithMultipleIds"
"","1","testAuthorizeWithEntityOnlyPolicies()","Structures Core","Wed Sep 24 08:48:00 GMT 2025","passed","Wed Sep 24 08:48:00 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithEntityOnlyPolicies"
"","1","testPolicyEvaluatorWithFailedOperations()","Structures Core","Wed Sep 24 08:48:00 GMT 2025","passed","Wed Sep 24 08:48:00 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithFailedOperations"
"","810","bulkUpdateObjectWithMultipleIds()","Structures Core","Wed Sep 24 08:47:42 GMT 2025","passed","Wed Sep 24 08:47:42 GMT 2025","","org.kinotic.structures.entity.BulkUpdateTests","org.kinotic.structures.entity.BulkUpdateTests","bulkUpdateObjectWithMultipleIds"
