"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","470","Test Cursor Based Paging With Iterator No Data","End To End Tests","Thu May 15 05:56:32 GMT 2025","passed","Thu May 15 05:56:32 GMT 2025","EntityService Tests","Typescript Client","",""
"","1","testSharedPolicyManagerInitialization()","Structures Core","Thu May 15 05:53:14 GMT 2025","passed","Thu May 15 05:53:14 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testSharedPolicyManagerInitialization"
"","196","testFindById()","Structures Core","Thu May 15 05:53:11 GMT 2025","passed","Thu May 15 05:53:11 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindById"
"","408","Test Save Multiple","End To End Tests","Thu May 15 05:56:42 GMT 2025","passed","Thu May 15 05:56:42 GMT 2025","Named Query Tests","Typescript Client","",""
"","2583","bulkUpdateObjectWithMultipleIds()","Structures Core","Thu May 15 05:52:58 GMT 2025","passed","Thu May 15 05:53:00 GMT 2025","","org.kinotic.structures.entity.BulkUpdateTests","org.kinotic.structures.entity.BulkUpdateTests","bulkUpdateObjectWithMultipleIds"
"","460","testCreateAndDeleteByQuery()","Structures Core","Thu May 15 05:53:11 GMT 2025","passed","Thu May 15 05:53:11 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCreateAndDeleteByQuery"
"","165","tryOperationsOnPublishedStructure()","Structures Core","Thu May 15 05:53:15 GMT 2025","passed","Thu May 15 05:53:15 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","tryOperationsOnPublishedStructure"
"","1533","Test Cursor Based Paging With Iterator","End To End Tests","Thu May 15 05:56:29 GMT 2025","passed","Thu May 15 05:56:30 GMT 2025","EntityService Tests","Typescript Client","",""
"","753","Aggregate Pageable Test","End To End Tests","Thu May 15 05:56:41 GMT 2025","passed","Thu May 15 05:56:42 GMT 2025","Named Query Tests","Typescript Client","",""
"","140","Can delete person","End To End Tests","Thu May 15 05:56:23 GMT 2025","passed","Thu May 15 05:56:23 GMT 2025","PersonWithTenant CRUD Operations","OpenAPI Client","",""
