"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6379","testMultiTenantSearch()","Structures Core","Mon Jun 02 07:04:34 GMT 2025","passed","Mon Jun 02 07:04:40 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testMultiTenantSearch"
"","247","Can count people across specific tenants","End To End Tests","Mon Jun 02 07:07:53 GMT 2025","passed","Mon Jun 02 07:07:53 GMT 2025","Multitenant Selection Operations","OpenAPI Client","",""
"","210","testCreateAndDeleteItem()","Structures Core","Mon Jun 02 07:04:41 GMT 2025","passed","Mon Jun 02 07:04:41 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCreateAndDeleteItem"
"","229","Can find people by IDs across specific tenants","End To End Tests","Mon Jun 02 07:07:53 GMT 2025","passed","Mon Jun 02 07:07:53 GMT 2025","Multitenant Selection Operations","OpenAPI Client","",""
"","437","testSearch()","Structures Core","Mon Jun 02 07:04:44 GMT 2025","passed","Mon Jun 02 07:04:44 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testSearch"
"","487","Test Offset Based Paging With Iterator No Data","End To End Tests","Mon Jun 02 07:08:03 GMT 2025","passed","Mon Jun 02 07:08:04 GMT 2025","EntityService Tests","Typescript Client","",""
"","1","testPolicyEvaluatorWithMissingDomainPolicy()","Structures Core","Mon Jun 02 07:04:47 GMT 2025","passed","Mon Jun 02 07:04:47 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithMissingDomainPolicy"
"","1","testPolicyEvaluatorWithFailedOperations()","Structures Core","Mon Jun 02 07:04:47 GMT 2025","passed","Mon Jun 02 07:04:47 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithFailedOperations"
"","1","testAuthorizeWriteFailsDueToOperationPolicy()","Structures Core","Mon Jun 02 07:04:47 GMT 2025","passed","Mon Jun 02 07:04:47 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWriteFailsDueToOperationPolicy"
"","8","createStructureInvalidField()","Structures Core","Mon Jun 02 07:04:47 GMT 2025","passed","Mon Jun 02 07:04:48 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","createStructureInvalidField"
"","746","Test Bulk Stream Write","End To End Tests","Mon Jun 02 07:08:04 GMT 2025","passed","Mon Jun 02 07:08:05 GMT 2025","Data Stream Tests","Typescript Client","",""
"","8467","Test Basic CRUD","End To End Tests","Mon Jun 02 07:07:44 GMT 2025","passed","Mon Jun 02 07:07:53 GMT 2025","EntityService Tests","Typescript Client","",""
"","398","Test Update Fails","End To End Tests","Mon Jun 02 07:08:15 GMT 2025","passed","Mon Jun 02 07:08:15 GMT 2025","Versioned Tests","Typescript Client","",""
"","1","testPolicyEvaluatorWithSuccessfulLastName()","Structures Core","Mon Jun 02 07:04:47 GMT 2025","passed","Mon Jun 02 07:04:47 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulLastName"
"","8478","Test Basic CRUD","End To End Tests","Mon Jun 02 07:07:44 GMT 2025","passed","Mon Jun 02 07:07:53 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","338","Can bulk save people across multiple tenants and retrieve them selectively","End To End Tests","Mon Jun 02 07:07:52 GMT 2025","passed","Mon Jun 02 07:07:53 GMT 2025","Multitenant Selection Operations","OpenAPI Client","",""
"","68","Can create a person","End To End Tests","Mon Jun 02 07:07:52 GMT 2025","passed","Mon Jun 02 07:07:52 GMT 2025","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","4","testAuthorizeReadFailsDueToFieldPolicy()","Structures Core","Mon Jun 02 07:04:47 GMT 2025","passed","Mon Jun 02 07:04:47 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadFailsDueToFieldPolicy"
"","0","testPolicyEvaluatorWithoutOperations()","Structures Core","Mon Jun 02 07:04:47 GMT 2025","passed","Mon Jun 02 07:04:47 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithoutOperations"
"","1978","Test FindByIds","End To End Tests","Mon Jun 02 07:07:53 GMT 2025","passed","Mon Jun 02 07:07:55 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","585","Test Stream Filtering by Severity","End To End Tests","Mon Jun 02 07:08:05 GMT 2025","passed","Mon Jun 02 07:08:05 GMT 2025","Data Stream Tests","Typescript Client","",""
"","6","testAuthorizeWithNoPoliciesOnStructure()","Structures Core","Mon Jun 02 07:04:47 GMT 2025","passed","Mon Jun 02 07:04:47 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithNoPoliciesOnStructure"
