"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","testPolicyEvaluatorWithoutOperations()","Structures Core","Tue Sep 16 07:03:07 GMT 2025","passed","Tue Sep 16 07:03:07 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithoutOperations"
"","0","testPolicyEvaluatorWithMissingDomainPolicy()","Structures Core","Tue Sep 16 07:03:07 GMT 2025","passed","Tue Sep 16 07:03:07 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithMissingDomainPolicy"
"","2622","Test FindByIds","End To End Tests","Tue Sep 16 07:08:26 GMT 2025","passed","Tue Sep 16 07:08:29 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","655","Aggregate With Parameter Test","End To End Tests","Tue Sep 16 07:08:44 GMT 2025","passed","Tue Sep 16 07:08:44 GMT 2025","Named Query Tests","Typescript Client","",""
"","737","Test Delete By Query","End To End Tests","Tue Sep 16 07:08:41 GMT 2025","passed","Tue Sep 16 07:08:42 GMT 2025","Data Stream Tests","Typescript Client","",""
"","679","Test Bulk CRUD","End To End Tests","Tue Sep 16 07:08:39 GMT 2025","passed","Tue Sep 16 07:08:39 GMT 2025","EntityService Tests","Typescript Client","",""
"","376","Test Update Fails","End To End Tests","Tue Sep 16 07:08:50 GMT 2025","passed","Tue Sep 16 07:08:51 GMT 2025","Versioned Tests","Typescript Client","",""
"","580","testCount()","Structures Core","Tue Sep 16 07:03:02 GMT 2025","passed","Tue Sep 16 07:03:02 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCount"
"","176","testFindById()","Structures Core","Tue Sep 16 07:03:03 GMT 2025","passed","Tue Sep 16 07:03:03 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindById"
"","1239","Test FindByIds and None Found","End To End Tests","Tue Sep 16 07:08:29 GMT 2025","passed","Tue Sep 16 07:08:30 GMT 2025","EntityService Tests","Typescript Client","",""
"","28","OpenApi Schema loads","End To End Tests","Tue Sep 16 07:08:56 GMT 2025","passed","Tue Sep 16 07:08:56 GMT 2025","","","",""
"","291","Can find people by IDs across specific tenants","End To End Tests","Tue Sep 16 07:08:27 GMT 2025","passed","Tue Sep 16 07:08:28 GMT 2025","Multitenant Selection Operations","OpenAPI Client","",""
"","1145","Test Alert Schema Evolution - Remove Field (Breaking)","End To End Tests","Tue Sep 16 07:08:43 GMT 2025","passed","Tue Sep 16 07:08:44 GMT 2025","Data Stream Tests","Typescript Client","",""
"","8433","Aggregate Test","End To End Tests","Tue Sep 16 07:08:35 GMT 2025","passed","Tue Sep 16 07:08:44 GMT 2025","Named Query Tests","Typescript Client","",""
"","181","Can count people across specific tenants","End To End Tests","Tue Sep 16 07:08:27 GMT 2025","passed","Tue Sep 16 07:08:27 GMT 2025","Multitenant Selection Operations","OpenAPI Client","",""
"","844","Test Cursor Based Paging With Iterator","End To End Tests","Tue Sep 16 07:08:33 GMT 2025","passed","Tue Sep 16 07:08:34 GMT 2025","EntityService Tests","Typescript Client","",""
"","706","bulkUpdateObjectWithMultipleIds()","Structures Core","Tue Sep 16 07:02:51 GMT 2025","passed","Tue Sep 16 07:02:52 GMT 2025","","org.kinotic.structures.entity.BulkUpdateTests","org.kinotic.structures.entity.BulkUpdateTests","bulkUpdateObjectWithMultipleIds"
"","602","Test Stream Time Range Search","End To End Tests","Tue Sep 16 07:08:40 GMT 2025","passed","Tue Sep 16 07:08:40 GMT 2025","Data Stream Tests","Typescript Client","",""
"","551","testSearch()","Structures Core","Tue Sep 16 07:03:04 GMT 2025","passed","Tue Sep 16 07:03:04 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testSearch"
"","583","Test Stream Pagination","End To End Tests","Tue Sep 16 07:08:40 GMT 2025","passed","Tue Sep 16 07:08:41 GMT 2025","Data Stream Tests","Typescript Client","",""
"","430","Test Offset Based Paging With Iterator No Data","End To End Tests","Tue Sep 16 07:08:38 GMT 2025","passed","Tue Sep 16 07:08:39 GMT 2025","EntityService Tests","Typescript Client","",""
"","82","Can get person by ID","End To End Tests","Tue Sep 16 07:08:26 GMT 2025","passed","Tue Sep 16 07:08:26 GMT 2025","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","1","testAuthorizeReadOperationWithNoFieldPolicies()","Structures Core","Tue Sep 16 07:03:07 GMT 2025","passed","Tue Sep 16 07:03:07 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadOperationWithNoFieldPolicies"
"","532","Aggregate Pageable Test","End To End Tests","Tue Sep 16 07:08:44 GMT 2025","passed","Tue Sep 16 07:08:45 GMT 2025","Named Query Tests","Typescript Client","",""
"","8","testAuthorizeWithNoPoliciesOnStructure()","Structures Core","Tue Sep 16 07:03:07 GMT 2025","passed","Tue Sep 16 07:03:07 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithNoPoliciesOnStructure"
"","4","testAuthorizeReadFailsDueToFieldPolicy()","Structures Core","Tue Sep 16 07:03:07 GMT 2025","passed","Tue Sep 16 07:03:07 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadFailsDueToFieldPolicy"
"","50","OpenApi Schema loads","End To End Tests","Tue Sep 16 07:08:54 GMT 2025","passed","Tue Sep 16 07:08:54 GMT 2025","","","",""
"","9863","Test Basic CRUD","End To End Tests","Tue Sep 16 07:08:17 GMT 2025","passed","Tue Sep 16 07:08:27 GMT 2025","EntityService Tests","Typescript Client","",""
"","1270","createAndDeleteApplication()","Structures Core","Tue Sep 16 07:02:49 GMT 2025","passed","Tue Sep 16 07:02:51 GMT 2025","","org.kinotic.structures.application.ApplicationTests","org.kinotic.structures.application.ApplicationTests","createAndDeleteApplication"
"","1173","Test Bulk CRUD","End To End Tests","Tue Sep 16 07:08:33 GMT 2025","passed","Tue Sep 16 07:08:34 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","324","bulkSaveObjectWithMultipleIds()","Structures Core","Tue Sep 16 07:02:52 GMT 2025","passed","Tue Sep 16 07:02:52 GMT 2025","","org.kinotic.structures.entity.BulkUpdateTests","org.kinotic.structures.entity.BulkUpdateTests","bulkSaveObjectWithMultipleIds"
"","612","testCountByQuery()","Structures Core","Tue Sep 16 07:03:00 GMT 2025","passed","Tue Sep 16 07:03:01 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCountByQuery"
"","451","Test Save Multiple","End To End Tests","Tue Sep 16 07:08:45 GMT 2025","passed","Tue Sep 16 07:08:45 GMT 2025","Named Query Tests","Typescript Client","",""
"","1","testPolicyEvaluatorWithSuccessfulOperations()","Structures Core","Tue Sep 16 07:03:07 GMT 2025","passed","Tue Sep 16 07:03:07 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulOperations"
"","153","tryOperationsOnPublishedStructure()","Structures Core","Tue Sep 16 07:03:07 GMT 2025","passed","Tue Sep 16 07:03:07 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","tryOperationsOnPublishedStructure"
"","1","testSharedPolicyManagerInitialization()","Structures Core","Tue Sep 16 07:03:07 GMT 2025","passed","Tue Sep 16 07:03:07 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testSharedPolicyManagerInitialization"
"","257","testCreateAndDeleteItem()","Structures Core","Tue Sep 16 07:03:01 GMT 2025","passed","Tue Sep 16 07:03:01 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCreateAndDeleteItem"
"","232","createPublishAndDeleteStructure()","Structures Core","Tue Sep 16 07:03:07 GMT 2025","passed","Tue Sep 16 07:03:07 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","createPublishAndDeleteStructure"
"","2417","testNamedQuery()","Structures Core","Tue Sep 16 07:03:04 GMT 2025","passed","Tue Sep 16 07:03:07 GMT 2025","","org.kinotic.structures.entity.NamedQueryTests","org.kinotic.structures.entity.NamedQueryTests","testNamedQuery"
"","1","testPolicyEvaluatorWithFailedOperations()","Structures Core","Tue Sep 16 07:03:07 GMT 2025","passed","Tue Sep 16 07:03:07 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithFailedOperations"
"","8898","Test Basic CRUD","End To End Tests","Tue Sep 16 07:08:17 GMT 2025","passed","Tue Sep 16 07:08:26 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","246","testPartialUpdate()","Structures Core","Tue Sep 16 07:03:03 GMT 2025","passed","Tue Sep 16 07:03:03 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testPartialUpdate"
"","642","Test Offset Based Paging With Iterator Single Page","End To End Tests","Tue Sep 16 07:08:38 GMT 2025","passed","Tue Sep 16 07:08:38 GMT 2025","EntityService Tests","Typescript Client","",""
"","953","Test CountByQuery and DeleteByQuery","End To End Tests","Tue Sep 16 07:08:31 GMT 2025","passed","Tue Sep 16 07:08:32 GMT 2025","EntityService Tests","Typescript Client","",""
"","543","Can delete people across specific tenants","End To End Tests","Tue Sep 16 07:08:28 GMT 2025","passed","Tue Sep 16 07:08:28 GMT 2025","Multitenant Selection Operations","OpenAPI Client","",""
"","1","testAuthorizeWriteOperationFails()","Structures Core","Tue Sep 16 07:03:07 GMT 2025","passed","Tue Sep 16 07:03:07 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWriteOperationFails"
"","493","testFindAll()","Structures Core","Tue Sep 16 07:03:01 GMT 2025","passed","Tue Sep 16 07:03:02 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindAll"
"","1778","Test FindByIds","End To End Tests","Tue Sep 16 07:08:27 GMT 2025","passed","Tue Sep 16 07:08:29 GMT 2025","EntityService Tests","Typescript Client","",""
"","283","testFindByIdsNoneFound()","Structures Core","Tue Sep 16 07:03:02 GMT 2025","passed","Tue Sep 16 07:03:03 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindByIdsNoneFound"
"","525","Test Optimistic Locking","End To End Tests","Tue Sep 16 07:08:49 GMT 2025","passed","Tue Sep 16 07:08:49 GMT 2025","Versioned Tests","Typescript Client","",""
"","8198","Test Basic Stream Write and Search","End To End Tests","Tue Sep 16 07:08:30 GMT 2025","passed","Tue Sep 16 07:08:38 GMT 2025","Data Stream Tests","Typescript Client","",""
"","1100","Test CountByQuery","End To End Tests","Tue Sep 16 07:08:30 GMT 2025","passed","Tue Sep 16 07:08:31 GMT 2025","EntityService Tests","Typescript Client","",""
"","1351","Test FindByIds and None Found","End To End Tests","Tue Sep 16 07:08:29 GMT 2025","passed","Tue Sep 16 07:08:30 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","0","testAuthorizeDeniedWithEntityOnlyPolicies()","Structures Core","Tue Sep 16 07:03:07 GMT 2025","passed","Tue Sep 16 07:03:07 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeDeniedWithEntityOnlyPolicies"
"","413","Can bulk save people across multiple tenants and retrieve them selectively","End To End Tests","Tue Sep 16 07:08:27 GMT 2025","passed","Tue Sep 16 07:08:27 GMT 2025","Multitenant Selection Operations","OpenAPI Client","",""
"","925","Test Alert Schema Evolution - Add Field (Non-Breaking)","End To End Tests","Tue Sep 16 07:08:42 GMT 2025","passed","Tue Sep 16 07:08:43 GMT 2025","Data Stream Tests","Typescript Client","",""
"","7366","Test Basic CRUD","End To End Tests","Tue Sep 16 07:08:41 GMT 2025","passed","Tue Sep 16 07:08:49 GMT 2025","Versioned Tests","Typescript Client","",""
"","26","tryOperationOnNotPublishedStructure()","Structures Core","Tue Sep 16 07:03:07 GMT 2025","passed","Tue Sep 16 07:03:07 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","tryOperationOnNotPublishedStructure"
"","624","Test Cursor Based Paging With Iterator No Data","End To End Tests","Tue Sep 16 07:08:35 GMT 2025","passed","Tue Sep 16 07:08:36 GMT 2025","EntityService Tests","Typescript Client","",""
"","1","testAuthorizeWriteFailsDueToOperationPolicy()","Structures Core","Tue Sep 16 07:03:07 GMT 2025","passed","Tue Sep 16 07:03:07 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWriteFailsDueToOperationPolicy"
"","1140","Test Cursor Based Paging","End To End Tests","Tue Sep 16 07:08:32 GMT 2025","passed","Tue Sep 16 07:08:33 GMT 2025","EntityService Tests","Typescript Client","",""
"","643","Test Cursor Based Paging With Iterator Uneven Pages","End To End Tests","Tue Sep 16 07:08:34 GMT 2025","passed","Tue Sep 16 07:08:35 GMT 2025","EntityService Tests","Typescript Client","",""
"","669","Test Bulk Stream Write","End To End Tests","Tue Sep 16 07:08:39 GMT 2025","passed","Tue Sep 16 07:08:39 GMT 2025","Data Stream Tests","Typescript Client","",""
"","1144","Test CountByQuery","End To End Tests","Tue Sep 16 07:08:30 GMT 2025","passed","Tue Sep 16 07:08:31 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","0","testPolicyEvaluatorWithSuccessfulLastName()","Structures Core","Tue Sep 16 07:03:07 GMT 2025","passed","Tue Sep 16 07:03:07 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulLastName"
"","945","Test Offset Based Paging With Iterator Uneven Pages","End To End Tests","Tue Sep 16 07:08:37 GMT 2025","passed","Tue Sep 16 07:08:38 GMT 2025","EntityService Tests","Typescript Client","",""
"","229","Can delete person","End To End Tests","Tue Sep 16 07:08:26 GMT 2025","passed","Tue Sep 16 07:08:27 GMT 2025","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","136","testFindByIds()","Structures Core","Tue Sep 16 07:03:04 GMT 2025","passed","Tue Sep 16 07:03:04 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindByIds"
"","1398","Test CountByQuery and DeleteByQuery","End To End Tests","Tue Sep 16 07:08:31 GMT 2025","passed","Tue Sep 16 07:08:33 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","566","Test Cursor Based Paging With Iterator Single Page","End To End Tests","Tue Sep 16 07:08:35 GMT 2025","passed","Tue Sep 16 07:08:35 GMT 2025","EntityService Tests","Typescript Client","",""
"","547","testBulk()","Structures Core","Tue Sep 16 07:02:52 GMT 2025","passed","Tue Sep 16 07:02:52 GMT 2025","","org.kinotic.structures.entity.BulkUpdateTests","org.kinotic.structures.entity.BulkUpdateTests","testBulk"
"","1","testAuthorizeWithEntityOnlyPolicies()","Structures Core","Tue Sep 16 07:03:07 GMT 2025","passed","Tue Sep 16 07:03:07 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithEntityOnlyPolicies"
"","814","Test Offset Based Paging With Iterator","End To End Tests","Tue Sep 16 07:08:36 GMT 2025","passed","Tue Sep 16 07:08:37 GMT 2025","EntityService Tests","Typescript Client","",""
"","7795","testMultiTenantSearch()","Structures Core","Tue Sep 16 07:02:52 GMT 2025","passed","Tue Sep 16 07:03:00 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testMultiTenantSearch"
"","540","Test Bulk CRUD","End To End Tests","Tue Sep 16 07:08:49 GMT 2025","passed","Tue Sep 16 07:08:50 GMT 2025","Versioned Tests","Typescript Client","",""
"","554","Test Stream Filtering by Severity","End To End Tests","Tue Sep 16 07:08:39 GMT 2025","passed","Tue Sep 16 07:08:40 GMT 2025","Data Stream Tests","Typescript Client","",""
