"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","944","Test Alert Schema Evolution - Remove Field (Breaking)","End To End Tests","Sun Aug 17 18:57:21 GMT 2025","passed","Sun Aug 17 18:57:22 GMT 2025","Data Stream Tests","Typescript Client","",""
"","488","Test Cursor Based Paging With Iterator No Data","End To End Tests","Sun Aug 17 18:57:14 GMT 2025","passed","Sun Aug 17 18:57:15 GMT 2025","EntityService Tests","Typescript Client","",""
"","569","Test Optimistic Locking","End To End Tests","Sun Aug 17 18:57:27 GMT 2025","passed","Sun Aug 17 18:57:27 GMT 2025","Versioned Tests","Typescript Client","",""
"","451","Test Update Fails","End To End Tests","Sun Aug 17 18:57:29 GMT 2025","passed","Sun Aug 17 18:57:29 GMT 2025","Versioned Tests","Typescript Client","",""
"","1","testCreateAndDeleteByQuery()","Structures Core","Sun Aug 17 18:56:08 GMT 2025","broken","Sun Aug 17 18:56:08 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCreateAndDeleteByQuery"
"","1","testPartialUpdate()","Structures Core","Sun Aug 17 18:56:08 GMT 2025","broken","Sun Aug 17 18:56:08 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testPartialUpdate"
"","1","testAuthorizeWriteOperationFails()","Structures Core","Sun Aug 17 18:56:08 GMT 2025","passed","Sun Aug 17 18:56:08 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWriteOperationFails"
"","9091","Test Basic CRUD","End To End Tests","Sun Aug 17 18:56:57 GMT 2025","passed","Sun Aug 17 18:57:06 GMT 2025","EntityService Tests","Typescript Client","",""
"","1","testFindByIdsNoneFound()","Structures Core","Sun Aug 17 18:56:08 GMT 2025","broken","Sun Aug 17 18:56:08 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindByIdsNoneFound"
"","1","testCount()","Structures Core","Sun Aug 17 18:56:08 GMT 2025","broken","Sun Aug 17 18:56:08 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCount"
