"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","656","testCountByQuery()","Structures Core","Tue Mar 11 21:25:49 GMT 2025","passed","Tue Mar 11 21:25:50 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCountByQuery"
"","843","Test Cursor Based Paging With Iterator","End To End Tests","Tue Mar 11 21:28:57 GMT 2025","passed","Tue Mar 11 21:28:58 GMT 2025","EntityService Tests","Typescript Client","",""
"","293","testPartialUpdate()","Structures Core","Tue Mar 11 21:25:51 GMT 2025","passed","Tue Mar 11 21:25:52 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testPartialUpdate"
"","512","Test Optimistic Locking","End To End Tests","Tue Mar 11 21:29:03 GMT 2025","passed","Tue Mar 11 21:29:03 GMT 2025","Versioned Tests","Typescript Client","",""
"","1256","Aggregate With Parameter Test","End To End Tests","Tue Mar 11 21:28:51 GMT 2025","passed","Tue Mar 11 21:28:52 GMT 2025","Named Query Tests","Typescript Client","",""
"","1089","Test CountByQuery","End To End Tests","Tue Mar 11 21:28:53 GMT 2025","passed","Tue Mar 11 21:28:54 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","578","testSearch()","Structures Core","Tue Mar 11 21:25:53 GMT 2025","passed","Tue Mar 11 21:25:53 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testSearch"
"","6","testAuthorizeWithNoPoliciesOnStructure()","Structures Core","Tue Mar 11 21:25:56 GMT 2025","passed","Tue Mar 11 21:25:56 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithNoPoliciesOnStructure"
"","180","findMissingEntity()","Structures Core","Tue Mar 11 21:25:52 GMT 2025","passed","Tue Mar 11 21:25:52 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","findMissingEntity"
"","0","testPolicyEvaluatorWithMissingDomainPolicy()","Structures Core","Tue Mar 11 21:25:56 GMT 2025","passed","Tue Mar 11 21:25:56 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithMissingDomainPolicy"
"","1","testAuthorizeWithEntityOnlyPolicies()","Structures Core","Tue Mar 11 21:25:56 GMT 2025","passed","Tue Mar 11 21:25:56 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithEntityOnlyPolicies"
"","1","testPolicyEvaluatorWithSuccessfulOperations()","Structures Core","Tue Mar 11 21:25:56 GMT 2025","passed","Tue Mar 11 21:25:56 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulOperations"
"","1","testAuthorizeReadOperationWithNoFieldPolicies()","Structures Core","Tue Mar 11 21:25:56 GMT 2025","passed","Tue Mar 11 21:25:56 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadOperationWithNoFieldPolicies"
"","261","createPublishAndDeleteStructure()","Structures Core","Tue Mar 11 21:25:56 GMT 2025","passed","Tue Mar 11 21:25:56 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","createPublishAndDeleteStructure"
"","555","Test Cursor Based Paging With Iterator Uneven Pages","End To End Tests","Tue Mar 11 21:28:58 GMT 2025","passed","Tue Mar 11 21:28:58 GMT 2025","EntityService Tests","Typescript Client","",""
"","1","testAuthorizeDeniedWithEntityOnlyPolicies()","Structures Core","Tue Mar 11 21:25:56 GMT 2025","passed","Tue Mar 11 21:25:56 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeDeniedWithEntityOnlyPolicies"
"","351","testFindByIdsNoneFound()","Structures Core","Tue Mar 11 21:25:51 GMT 2025","passed","Tue Mar 11 21:25:51 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindByIdsNoneFound"
"","3159","Test CountByQuery and DeleteByQuery","End To End Tests","Tue Mar 11 21:28:52 GMT 2025","passed","Tue Mar 11 21:28:56 GMT 2025","EntityService Tests","Typescript Client","",""
"","1289","Test Cursor Based Paging","End To End Tests","Tue Mar 11 21:28:56 GMT 2025","passed","Tue Mar 11 21:28:57 GMT 2025","EntityService Tests","Typescript Client","",""
"","9","createStructureInvalidField()","Structures Core","Tue Mar 11 21:25:56 GMT 2025","passed","Tue Mar 11 21:25:56 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","createStructureInvalidField"
"","1135","Test FindByIds and None Found","End To End Tests","Tue Mar 11 21:28:50 GMT 2025","passed","Tue Mar 11 21:28:51 GMT 2025","EntityService Tests","Typescript Client","",""
"","494","testFindAll()","Structures Core","Tue Mar 11 21:25:50 GMT 2025","passed","Tue Mar 11 21:25:50 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindAll"
"","1310","Test FindByIds","End To End Tests","Tue Mar 11 21:28:49 GMT 2025","passed","Tue Mar 11 21:28:50 GMT 2025","EntityService Tests","Typescript Client","",""
"","413","Test Offset Based Paging With Iterator No Data","End To End Tests","Tue Mar 11 21:29:01 GMT 2025","passed","Tue Mar 11 21:29:01 GMT 2025","EntityService Tests","Typescript Client","",""
