"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1408","Test CountByQuery","End To End Tests","Thu Jul 31 03:18:33 GMT 2025","passed","Thu Jul 31 03:18:34 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","1321","Test FindByIds and None Found","End To End Tests","Thu Jul 31 03:18:31 GMT 2025","passed","Thu Jul 31 03:18:33 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","773","Aggregate Pageable Test","End To End Tests","Thu Jul 31 03:18:48 GMT 2025","passed","Thu Jul 31 03:18:49 GMT 2025","Named Query Tests","Typescript Client","",""
"","8751","Test Basic Stream Write and Search","End To End Tests","Thu Jul 31 03:18:32 GMT 2025","passed","Thu Jul 31 03:18:41 GMT 2025","Data Stream Tests","Typescript Client","",""
"","1","testAuthorizeDeniedWithEntityOnlyPolicies()","Structures Core","Thu Jul 31 03:14:16 GMT 2025","passed","Thu Jul 31 03:14:16 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeDeniedWithEntityOnlyPolicies"
"","210","testFindById()","Structures Core","Thu Jul 31 03:14:13 GMT 2025","passed","Thu Jul 31 03:14:13 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindById"
"","432","Test Save Multiple","End To End Tests","Thu Jul 31 03:18:49 GMT 2025","passed","Thu Jul 31 03:18:49 GMT 2025","Named Query Tests","Typescript Client","",""
"","624","Test Bulk CRUD","End To End Tests","Thu Jul 31 03:18:52 GMT 2025","passed","Thu Jul 31 03:18:52 GMT 2025","Versioned Tests","Typescript Client","",""
"","385","testFindByIdsNoneFound()","Structures Core","Thu Jul 31 03:14:12 GMT 2025","passed","Thu Jul 31 03:14:12 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindByIdsNoneFound"
"","53","Can get person by ID","End To End Tests","Thu Jul 31 03:18:29 GMT 2025","passed","Thu Jul 31 03:18:29 GMT 2025","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","272","Can bulk save people across multiple tenants and retrieve them selectively","End To End Tests","Thu Jul 31 03:18:29 GMT 2025","passed","Thu Jul 31 03:18:29 GMT 2025","Multitenant Selection Operations","OpenAPI Client","",""
"","176","findMissingEntity()","Structures Core","Thu Jul 31 03:14:13 GMT 2025","passed","Thu Jul 31 03:14:13 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","findMissingEntity"
"","174","tryOperationsOnPublishedStructure()","Structures Core","Thu Jul 31 03:14:17 GMT 2025","passed","Thu Jul 31 03:14:17 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","tryOperationsOnPublishedStructure"
"","1","testAuthorizeReadOperationWithNoFieldPolicies()","Structures Core","Thu Jul 31 03:14:16 GMT 2025","passed","Thu Jul 31 03:14:16 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadOperationWithNoFieldPolicies"
"","707","Aggregate With Parameter Test","End To End Tests","Thu Jul 31 03:18:47 GMT 2025","passed","Thu Jul 31 03:18:48 GMT 2025","Named Query Tests","Typescript Client","",""
"","0","testAuthorizeWriteOperationFails()","Structures Core","Thu Jul 31 03:14:16 GMT 2025","passed","Thu Jul 31 03:14:16 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWriteOperationFails"
"","6588","Aggregate With Parameter and Tenant Selection Test","End To End Tests","Thu Jul 31 03:18:49 GMT 2025","passed","Thu Jul 31 03:18:55 GMT 2025","Admin Named Query Tests","Typescript Client","",""
"","1280","Test CountByQuery and DeleteByQuery","End To End Tests","Thu Jul 31 03:18:33 GMT 2025","passed","Thu Jul 31 03:18:34 GMT 2025","EntityService Tests","Typescript Client","",""
