"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1253","Test Bulk CRUD","End To End Tests","Thu Jun 12 14:30:59 GMT 2025","passed","Thu Jun 12 14:31:00 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","549","Test Offset Based Paging With Iterator No Data","End To End Tests","Thu Jun 12 14:31:04 GMT 2025","passed","Thu Jun 12 14:31:05 GMT 2025","EntityService Tests","Typescript Client","",""
"","1508","Test Alert Schema Evolution - Remove Field (Breaking)","End To End Tests","Thu Jun 12 14:31:08 GMT 2025","passed","Thu Jun 12 14:31:09 GMT 2025","Data Stream Tests","Typescript Client","",""
"","2242","bulkUpdateObjectWithMultipleIds()","Structures Core","Thu Jun 12 14:26:56 GMT 2025","passed","Thu Jun 12 14:26:58 GMT 2025","","org.kinotic.structures.entity.BulkUpdateTests","org.kinotic.structures.entity.BulkUpdateTests","bulkUpdateObjectWithMultipleIds"
"","280","Can find people by IDs across specific tenants","End To End Tests","Thu Jun 12 14:30:53 GMT 2025","passed","Thu Jun 12 14:30:53 GMT 2025","Multitenant Selection Operations","OpenAPI Client","",""
"","1399","Test CountByQuery and DeleteByQuery","End To End Tests","Thu Jun 12 14:30:57 GMT 2025","passed","Thu Jun 12 14:30:59 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","184","Can delete person","End To End Tests","Thu Jun 12 14:30:53 GMT 2025","passed","Thu Jun 12 14:30:53 GMT 2025","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","1","testAuthorizeWriteFailsDueToOperationPolicy()","Structures Core","Thu Jun 12 14:27:12 GMT 2025","passed","Thu Jun 12 14:27:12 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWriteFailsDueToOperationPolicy"
"","376","bulkSaveObjectWithMultipleIds()","Structures Core","Thu Jun 12 14:26:59 GMT 2025","passed","Thu Jun 12 14:26:59 GMT 2025","","org.kinotic.structures.entity.BulkUpdateTests","org.kinotic.structures.entity.BulkUpdateTests","bulkSaveObjectWithMultipleIds"
"","408","Can delete people across specific tenants","End To End Tests","Thu Jun 12 14:30:53 GMT 2025","passed","Thu Jun 12 14:30:54 GMT 2025","Multitenant Selection Operations","OpenAPI Client","",""
"","669","Aggregate With Parameter Test","End To End Tests","Thu Jun 12 14:31:09 GMT 2025","passed","Thu Jun 12 14:31:10 GMT 2025","Named Query Tests","Typescript Client","",""
"","41","tryOperationOnNotPublishedStructure()","Structures Core","Thu Jun 12 14:27:12 GMT 2025","passed","Thu Jun 12 14:27:12 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","tryOperationOnNotPublishedStructure"
"","0","testPolicyEvaluatorWithMissingDomainPolicy()","Structures Core","Thu Jun 12 14:27:12 GMT 2025","passed","Thu Jun 12 14:27:12 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithMissingDomainPolicy"
"","163","testFindById()","Structures Core","Thu Jun 12 14:27:07 GMT 2025","passed","Thu Jun 12 14:27:07 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindById"
"","843","Test Offset Based Paging With Iterator","End To End Tests","Thu Jun 12 14:31:02 GMT 2025","passed","Thu Jun 12 14:31:03 GMT 2025","EntityService Tests","Typescript Client","",""
"","39","OpenApi Schema loads","End To End Tests","Thu Jun 12 14:31:20 GMT 2025","passed","Thu Jun 12 14:31:20 GMT 2025","","","",""
"","760","Test FindByIds","End To End Tests","Thu Jun 12 14:31:15 GMT 2025","passed","Thu Jun 12 14:31:16 GMT 2025","Versioned Tests","Typescript Client","",""
"","656","testFindAll()","Structures Core","Thu Jun 12 14:27:05 GMT 2025","passed","Thu Jun 12 14:27:06 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindAll"
"","6777","Test Basic CRUD","End To End Tests","Thu Jun 12 14:31:07 GMT 2025","passed","Thu Jun 12 14:31:14 GMT 2025","Versioned Tests","Typescript Client","",""
"","1","testAuthorizeReadOperationWithNoFieldPolicies()","Structures Core","Thu Jun 12 14:27:12 GMT 2025","passed","Thu Jun 12 14:27:12 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadOperationWithNoFieldPolicies"
"","592","Test Bulk CRUD","End To End Tests","Thu Jun 12 14:31:14 GMT 2025","passed","Thu Jun 12 14:31:15 GMT 2025","Versioned Tests","Typescript Client","",""
"","768","Test Alert Schema Evolution - Add Field (Non-Breaking)","End To End Tests","Thu Jun 12 14:31:07 GMT 2025","passed","Thu Jun 12 14:31:08 GMT 2025","Data Stream Tests","Typescript Client","",""
"","537","Test Stream Time Range Search","End To End Tests","Thu Jun 12 14:31:05 GMT 2025","passed","Thu Jun 12 14:31:06 GMT 2025","Data Stream Tests","Typescript Client","",""
"","578","testCountByQuery()","Structures Core","Thu Jun 12 14:27:04 GMT 2025","passed","Thu Jun 12 14:27:05 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCountByQuery"
"","43","createAndDeleteNamespace()","Structures Core","Thu Jun 12 14:27:12 GMT 2025","passed","Thu Jun 12 14:27:12 GMT 2025","","org.kinotic.structures.namespace.NamespaceTests","org.kinotic.structures.namespace.NamespaceTests","createAndDeleteNamespace"
"","709","Test Stream Filtering by Severity","End To End Tests","Thu Jun 12 14:31:05 GMT 2025","passed","Thu Jun 12 14:31:05 GMT 2025","Data Stream Tests","Typescript Client","",""
"","273","testFindByIdsNoneFound()","Structures Core","Thu Jun 12 14:27:06 GMT 2025","passed","Thu Jun 12 14:27:07 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindByIdsNoneFound"
"","558","testCreateAndDeleteByQuery()","Structures Core","Thu Jun 12 14:27:07 GMT 2025","passed","Thu Jun 12 14:27:08 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCreateAndDeleteByQuery"
"","670","Test Bulk Stream Write","End To End Tests","Thu Jun 12 14:31:04 GMT 2025","passed","Thu Jun 12 14:31:05 GMT 2025","Data Stream Tests","Typescript Client","",""
"","698","Test Cursor Based Paging With Iterator Uneven Pages","End To End Tests","Thu Jun 12 14:31:00 GMT 2025","passed","Thu Jun 12 14:31:01 GMT 2025","EntityService Tests","Typescript Client","",""
"","1","testPolicyEvaluatorWithoutOperations()","Structures Core","Thu Jun 12 14:27:12 GMT 2025","passed","Thu Jun 12 14:27:12 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithoutOperations"
"","632","Test Offset Based Paging With Iterator Single Page","End To End Tests","Thu Jun 12 14:31:04 GMT 2025","passed","Thu Jun 12 14:31:04 GMT 2025","EntityService Tests","Typescript Client","",""
"","318","createPublishAndDeleteStructure()","Structures Core","Thu Jun 12 14:27:12 GMT 2025","passed","Thu Jun 12 14:27:12 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","createPublishAndDeleteStructure"
"","849","Test Offset Based Paging With Iterator Uneven Pages","End To End Tests","Thu Jun 12 14:31:03 GMT 2025","passed","Thu Jun 12 14:31:04 GMT 2025","EntityService Tests","Typescript Client","",""
"","1850","Test FindByIds","End To End Tests","Thu Jun 12 14:30:53 GMT 2025","passed","Thu Jun 12 14:30:55 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","596","Aggregate Pageable Test","End To End Tests","Thu Jun 12 14:31:10 GMT 2025","passed","Thu Jun 12 14:31:11 GMT 2025","Named Query Tests","Typescript Client","",""
"","496","Test Save Multiple","End To End Tests","Thu Jun 12 14:31:11 GMT 2025","passed","Thu Jun 12 14:31:11 GMT 2025","Named Query Tests","Typescript Client","",""
"","1","testPolicyEvaluatorWithFailedOperations()","Structures Core","Thu Jun 12 14:27:12 GMT 2025","passed","Thu Jun 12 14:27:12 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithFailedOperations"
"","83","Can get person by ID","End To End Tests","Thu Jun 12 14:30:52 GMT 2025","passed","Thu Jun 12 14:30:53 GMT 2025","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","8146","Test Basic CRUD","End To End Tests","Thu Jun 12 14:30:45 GMT 2025","passed","Thu Jun 12 14:30:53 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","7695","Aggregate Test","End To End Tests","Thu Jun 12 14:31:02 GMT 2025","passed","Thu Jun 12 14:31:09 GMT 2025","Named Query Tests","Typescript Client","",""
"","614","Test Cursor Based Paging With Iterator Single Page","End To End Tests","Thu Jun 12 14:31:01 GMT 2025","passed","Thu Jun 12 14:31:01 GMT 2025","EntityService Tests","Typescript Client","",""
"","279","Can bulk save people across multiple tenants and retrieve them selectively","End To End Tests","Thu Jun 12 14:30:53 GMT 2025","passed","Thu Jun 12 14:30:53 GMT 2025","Multitenant Selection Operations","OpenAPI Client","",""
"","436","OpenApi Schema loads","End To End Tests","Thu Jun 12 14:30:52 GMT 2025","passed","Thu Jun 12 14:30:52 GMT 2025","","OpenAPI Client","",""
"","207","tryOperationsOnPublishedStructure()","Structures Core","Thu Jun 12 14:27:12 GMT 2025","passed","Thu Jun 12 14:27:12 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","tryOperationsOnPublishedStructure"
"","2957","testNamedQuery()","Structures Core","Thu Jun 12 14:27:09 GMT 2025","passed","Thu Jun 12 14:27:12 GMT 2025","","org.kinotic.structures.entity.NamedQueryTests","org.kinotic.structures.entity.NamedQueryTests","testNamedQuery"
"","564","Test Optimistic Locking","End To End Tests","Thu Jun 12 14:31:14 GMT 2025","passed","Thu Jun 12 14:31:14 GMT 2025","Versioned Tests","Typescript Client","",""
"","1293","Test FindByIds and None Found","End To End Tests","Thu Jun 12 14:30:54 GMT 2025","passed","Thu Jun 12 14:30:55 GMT 2025","EntityService Tests","Typescript Client","",""
"","588","Test Cursor Based Paging With Iterator No Data","End To End Tests","Thu Jun 12 14:31:01 GMT 2025","passed","Thu Jun 12 14:31:02 GMT 2025","EntityService Tests","Typescript Client","",""
"","1","testAuthorizeDeniedWithEntityOnlyPolicies()","Structures Core","Thu Jun 12 14:27:12 GMT 2025","passed","Thu Jun 12 14:27:12 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeDeniedWithEntityOnlyPolicies"
"","692","testSearch()","Structures Core","Thu Jun 12 14:27:08 GMT 2025","passed","Thu Jun 12 14:27:09 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testSearch"
"","46","createStructureWithSameNameError()","Structures Core","Thu Jun 12 14:27:12 GMT 2025","passed","Thu Jun 12 14:27:13 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","createStructureWithSameNameError"
"","5319","testMultiTenantSearch()","Structures Core","Thu Jun 12 14:26:59 GMT 2025","passed","Thu Jun 12 14:27:04 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testMultiTenantSearch"
"","3","testAuthorizeReadFailsDueToFieldPolicy()","Structures Core","Thu Jun 12 14:27:12 GMT 2025","passed","Thu Jun 12 14:27:12 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadFailsDueToFieldPolicy"
"","0","testAuthorizeWithEntityOnlyPolicies()","Structures Core","Thu Jun 12 14:27:12 GMT 2025","passed","Thu Jun 12 14:27:12 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithEntityOnlyPolicies"
"","1417","Test FindByIds and None Found","End To End Tests","Thu Jun 12 14:30:55 GMT 2025","passed","Thu Jun 12 14:30:56 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","7917","Test Basic CRUD","End To End Tests","Thu Jun 12 14:30:45 GMT 2025","passed","Thu Jun 12 14:30:53 GMT 2025","EntityService Tests","Typescript Client","",""
"","629","Test Bulk CRUD","End To End Tests","Thu Jun 12 14:31:05 GMT 2025","passed","Thu Jun 12 14:31:05 GMT 2025","EntityService Tests","Typescript Client","",""
"","2","testSharedPolicyManagerInitialization()","Structures Core","Thu Jun 12 14:27:12 GMT 2025","passed","Thu Jun 12 14:27:12 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testSharedPolicyManagerInitialization"
"","1","testAuthorizeWriteOperationFails()","Structures Core","Thu Jun 12 14:27:12 GMT 2025","passed","Thu Jun 12 14:27:12 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWriteOperationFails"
"","570","testCount()","Structures Core","Thu Jun 12 14:27:06 GMT 2025","passed","Thu Jun 12 14:27:06 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCount"
"","960","Test CountByQuery and DeleteByQuery","End To End Tests","Thu Jun 12 14:30:57 GMT 2025","passed","Thu Jun 12 14:30:58 GMT 2025","EntityService Tests","Typescript Client","",""
"","690","Test Multiple Writes Maintain Data Integrity","End To End Tests","Thu Jun 12 14:31:03 GMT 2025","passed","Thu Jun 12 14:31:04 GMT 2025","Data Stream Tests","Typescript Client","",""
"","559","Test Delete By Query","End To End Tests","Thu Jun 12 14:31:06 GMT 2025","passed","Thu Jun 12 14:31:07 GMT 2025","Data Stream Tests","Typescript Client","",""
"","1272","Test Cursor Based Paging","End To End Tests","Thu Jun 12 14:30:58 GMT 2025","passed","Thu Jun 12 14:30:59 GMT 2025","EntityService Tests","Typescript Client","",""
"","21","OpenApi Schema loads","End To End Tests","Thu Jun 12 14:31:22 GMT 2025","passed","Thu Jun 12 14:31:22 GMT 2025","","","",""
"","300","findMissingEntity()","Structures Core","Thu Jun 12 14:27:08 GMT 2025","passed","Thu Jun 12 14:27:08 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","findMissingEntity"
"","1137","Test CountByQuery","End To End Tests","Thu Jun 12 14:30:55 GMT 2025","passed","Thu Jun 12 14:30:57 GMT 2025","EntityService Tests","Typescript Client","",""
"","1","testPolicyEvaluatorWithSuccessfulOperations()","Structures Core","Thu Jun 12 14:27:12 GMT 2025","passed","Thu Jun 12 14:27:12 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulOperations"
"","6","testAuthorizeWithNoPoliciesOnStructure()","Structures Core","Thu Jun 12 14:27:12 GMT 2025","passed","Thu Jun 12 14:27:12 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithNoPoliciesOnStructure"
"","198","testFindByIds()","Structures Core","Thu Jun 12 14:27:08 GMT 2025","passed","Thu Jun 12 14:27:08 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindByIds"
"","7684","Test Basic Stream Write and Search","End To End Tests","Thu Jun 12 14:30:55 GMT 2025","passed","Thu Jun 12 14:31:03 GMT 2025","Data Stream Tests","Typescript Client","",""
"","1177","Test Cursor Based Paging With Iterator","End To End Tests","Thu Jun 12 14:30:59 GMT 2025","passed","Thu Jun 12 14:31:00 GMT 2025","EntityService Tests","Typescript Client","",""
"","200","Can count people across specific tenants","End To End Tests","Thu Jun 12 14:30:53 GMT 2025","passed","Thu Jun 12 14:30:53 GMT 2025","Multitenant Selection Operations","OpenAPI Client","",""
"","1624","Test FindByIds","End To End Tests","Thu Jun 12 14:30:53 GMT 2025","passed","Thu Jun 12 14:30:54 GMT 2025","EntityService Tests","Typescript Client","",""
"","0","testPolicyEvaluatorWithSuccessfulLastName()","Structures Core","Thu Jun 12 14:27:12 GMT 2025","passed","Thu Jun 12 14:27:12 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulLastName"
"","208","testCreateAndDeleteItem()","Structures Core","Thu Jun 12 14:27:05 GMT 2025","passed","Thu Jun 12 14:27:05 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCreateAndDeleteItem"
"","455","Test Update Fails","End To End Tests","Thu Jun 12 14:31:16 GMT 2025","passed","Thu Jun 12 14:31:16 GMT 2025","Versioned Tests","Typescript Client","",""
"","7137","Aggregate With Parameter and Tenant Selection Test","End To End Tests","Thu Jun 12 14:31:11 GMT 2025","passed","Thu Jun 12 14:31:18 GMT 2025","Admin Named Query Tests","Typescript Client","",""
"","585","Test Stream Pagination","End To End Tests","Thu Jun 12 14:31:06 GMT 2025","passed","Thu Jun 12 14:31:06 GMT 2025","Data Stream Tests","Typescript Client","",""
"","228","testPartialUpdate()","Structures Core","Thu Jun 12 14:27:07 GMT 2025","passed","Thu Jun 12 14:27:07 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testPartialUpdate"
"","692","testBulk()","Structures Core","Thu Jun 12 14:26:58 GMT 2025","passed","Thu Jun 12 14:26:59 GMT 2025","","org.kinotic.structures.entity.BulkUpdateTests","org.kinotic.structures.entity.BulkUpdateTests","testBulk"
"","7","createStructureInvalidField()","Structures Core","Thu Jun 12 14:27:12 GMT 2025","passed","Thu Jun 12 14:27:12 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","createStructureInvalidField"
"","1146","Test CountByQuery","End To End Tests","Thu Jun 12 14:30:56 GMT 2025","passed","Thu Jun 12 14:30:57 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","102","Can create a person","End To End Tests","Thu Jun 12 14:30:52 GMT 2025","passed","Thu Jun 12 14:30:52 GMT 2025","PersonWithTenant CRUD Operations","OpenAPI Client","",""
