"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","639","testBulk()","Structures Core","Mon Mar 03 16:51:41 GMT 2025","passed","Mon Mar 03 16:51:41 GMT 2025","","org.kinotic.structures.entity.BulkUpdateTests","org.kinotic.structures.entity.BulkUpdateTests","testBulk"
"","1569","Test FindByIds","End To End Tests","Mon Mar 03 16:54:55 GMT 2025","passed","Mon Mar 03 16:54:56 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","600","Test Offset Based Paging With Iterator","End To End Tests","Mon Mar 03 16:55:04 GMT 2025","passed","Mon Mar 03 16:55:04 GMT 2025","EntityService Tests","Typescript Client","",""
"","1157","Aggregate With Parameter Test","End To End Tests","Mon Mar 03 16:54:56 GMT 2025","passed","Mon Mar 03 16:54:57 GMT 2025","Named Query Tests","Typescript Client","",""
"","1339","Test FindByIds","End To End Tests","Mon Mar 03 16:54:54 GMT 2025","passed","Mon Mar 03 16:54:56 GMT 2025","EntityService Tests","Typescript Client","",""
"","1","testSharedPolicyManagerInitialization()","Structures Core","Mon Mar 03 16:51:56 GMT 2025","passed","Mon Mar 03 16:51:56 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testSharedPolicyManagerInitialization"
"","1","testAuthorizeWriteOperationFails()","Structures Core","Mon Mar 03 16:51:56 GMT 2025","passed","Mon Mar 03 16:51:56 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWriteOperationFails"
"","9","createStructureInvalidField()","Structures Core","Mon Mar 03 16:51:57 GMT 2025","passed","Mon Mar 03 16:51:57 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","createStructureInvalidField"
"","271","testFindByIdsNoneFound()","Structures Core","Mon Mar 03 16:51:51 GMT 2025","passed","Mon Mar 03 16:51:52 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindByIdsNoneFound"
"","334","testPartialUpdate()","Structures Core","Mon Mar 03 16:51:52 GMT 2025","passed","Mon Mar 03 16:51:52 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testPartialUpdate"
