"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","tryOperationsOnPublishedStructure()","Structures Core","Fri Aug 01 06:54:10 GMT 2025","broken","Fri Aug 01 06:54:10 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","tryOperationsOnPublishedStructure"
"","1","testCount()","Structures Core","Fri Aug 01 06:54:09 GMT 2025","broken","Fri Aug 01 06:54:09 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCount"
"","1","bulkSaveObjectWithMultipleIds()","Structures Core","Fri Aug 01 06:54:09 GMT 2025","broken","Fri Aug 01 06:54:09 GMT 2025","","org.kinotic.structures.entity.BulkUpdateTests","org.kinotic.structures.entity.BulkUpdateTests","bulkSaveObjectWithMultipleIds"
"","792","Test Offset Based Paging With Iterator Uneven Pages","End To End Tests","Fri Aug 01 06:55:19 GMT 2025","passed","Fri Aug 01 06:55:19 GMT 2025","EntityService Tests","Typescript Client","",""
"","1","testPolicyEvaluatorWithMissingDomainPolicy()","Structures Core","Fri Aug 01 06:54:10 GMT 2025","passed","Fri Aug 01 06:54:10 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithMissingDomainPolicy"
"","6","testAuthorizeReadFailsDueToFieldPolicy()","Structures Core","Fri Aug 01 06:54:09 GMT 2025","passed","Fri Aug 01 06:54:09 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadFailsDueToFieldPolicy"
"","561","Test Optimistic Locking","End To End Tests","Fri Aug 01 06:55:29 GMT 2025","passed","Fri Aug 01 06:55:30 GMT 2025","Versioned Tests","Typescript Client","",""
"","1","testCreateAndDeleteByQuery()","Structures Core","Fri Aug 01 06:54:09 GMT 2025","broken","Fri Aug 01 06:54:09 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCreateAndDeleteByQuery"
"","972","Test Cursor Based Paging With Iterator","End To End Tests","Fri Aug 01 06:55:15 GMT 2025","passed","Fri Aug 01 06:55:16 GMT 2025","EntityService Tests","Typescript Client","",""
"","670","Test Multiple Writes Maintain Data Integrity","End To End Tests","Fri Aug 01 06:55:19 GMT 2025","passed","Fri Aug 01 06:55:20 GMT 2025","Data Stream Tests","Typescript Client","",""
