"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","654","Test Offset Based Paging With Iterator Single Page","End To End Tests","Thu Jun 05 06:16:35 GMT 2025","passed","Thu Jun 05 06:16:36 GMT 2025","EntityService Tests","Typescript Client","",""
"","1090","Test Cursor Based Paging With Iterator","End To End Tests","Thu Jun 05 06:16:31 GMT 2025","passed","Thu Jun 05 06:16:32 GMT 2025","EntityService Tests","Typescript Client","",""
"","1","testPolicyEvaluatorWithoutOperations()","Structures Core","Thu Jun 05 06:13:05 GMT 2025","passed","Thu Jun 05 06:13:05 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithoutOperations"
"","665","Aggregate Pageable Test","End To End Tests","Thu Jun 05 06:16:42 GMT 2025","passed","Thu Jun 05 06:16:43 GMT 2025","Named Query Tests","Typescript Client","",""
"","191","Can find people by IDs across specific tenants","End To End Tests","Thu Jun 05 06:16:26 GMT 2025","passed","Thu Jun 05 06:16:26 GMT 2025","Multitenant Selection Operations","OpenAPI Client","",""
"","624","Test Stream Time Range Search","End To End Tests","Thu Jun 05 06:16:38 GMT 2025","passed","Thu Jun 05 06:16:38 GMT 2025","Data Stream Tests","Typescript Client","",""
"","1311","Test FindByIds and None Found","End To End Tests","Thu Jun 05 06:16:27 GMT 2025","passed","Thu Jun 05 06:16:28 GMT 2025","Admin EntityService Tests","Typescript Client","",""
"","5","testAuthorizeWithNoPoliciesOnStructure()","Structures Core","Thu Jun 05 06:13:05 GMT 2025","passed","Thu Jun 05 06:13:05 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithNoPoliciesOnStructure"
"","613","Test Optimistic Locking","End To End Tests","Thu Jun 05 06:16:46 GMT 2025","passed","Thu Jun 05 06:16:46 GMT 2025","Versioned Tests","Typescript Client","",""
"","1","testPolicyEvaluatorWithSuccessfulLastName()","Structures Core","Thu Jun 05 06:13:05 GMT 2025","passed","Thu Jun 05 06:13:05 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulLastName"
"","0","testPolicyEvaluatorWithSuccessfulOperations()","Structures Core","Thu Jun 05 06:13:05 GMT 2025","passed","Thu Jun 05 06:13:05 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulOperations"
"","4","testAuthorizeReadFailsDueToFieldPolicy()","Structures Core","Thu Jun 05 06:13:05 GMT 2025","passed","Thu Jun 05 06:13:05 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadFailsDueToFieldPolicy"
"","576","testCreateAndDeleteByQuery()","Structures Core","Thu Jun 05 06:13:01 GMT 2025","passed","Thu Jun 05 06:13:02 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCreateAndDeleteByQuery"
"","1831","Test FindByIds","End To End Tests","Thu Jun 05 06:16:25 GMT 2025","passed","Thu Jun 05 06:16:27 GMT 2025","EntityService Tests","Typescript Client","",""
"","670","Test Multiple Writes Maintain Data Integrity","End To End Tests","Thu Jun 05 06:16:35 GMT 2025","passed","Thu Jun 05 06:16:36 GMT 2025","Data Stream Tests","Typescript Client","",""
