"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","tryOperationsOnPublishedStructure()","Structures Core","Wed Aug 06 07:57:38 GMT 2025","broken","Wed Aug 06 07:57:38 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","tryOperationsOnPublishedStructure"
"","64","Can create a person","End To End Tests","Wed Aug 06 07:59:48 GMT 2025","passed","Wed Aug 06 07:59:48 GMT 2025","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","1","testFindAll()","Structures Core","Wed Aug 06 07:57:38 GMT 2025","broken","Wed Aug 06 07:57:38 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindAll"
"","6","testAuthorizeReadFailsDueToFieldPolicy()","Structures Core","Wed Aug 06 07:57:38 GMT 2025","passed","Wed Aug 06 07:57:38 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadFailsDueToFieldPolicy"
"","721","Test Delete By Query","End To End Tests","Wed Aug 06 08:00:01 GMT 2025","passed","Wed Aug 06 08:00:02 GMT 2025","Data Stream Tests","Typescript Client","",""
"","683","Test Stream Filtering by Severity","End To End Tests","Wed Aug 06 07:59:59 GMT 2025","passed","Wed Aug 06 08:00:00 GMT 2025","Data Stream Tests","Typescript Client","",""
"","1","testAuthorizeWithEntityOnlyPolicies()","Structures Core","Wed Aug 06 07:57:38 GMT 2025","passed","Wed Aug 06 07:57:38 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithEntityOnlyPolicies"
"","702","Aggregate Pageable Test","End To End Tests","Wed Aug 06 08:00:05 GMT 2025","passed","Wed Aug 06 08:00:06 GMT 2025","Named Query Tests","Typescript Client","",""
"","1","testAuthorizeDeniedWithEntityOnlyPolicies()","Structures Core","Wed Aug 06 07:57:38 GMT 2025","passed","Wed Aug 06 07:57:38 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeDeniedWithEntityOnlyPolicies"
"","609","Test Stream Time Range Search","End To End Tests","Wed Aug 06 08:00:00 GMT 2025","passed","Wed Aug 06 08:00:01 GMT 2025","Data Stream Tests","Typescript Client","",""
"","936","Test Offset Based Paging With Iterator","End To End Tests","Wed Aug 06 07:59:57 GMT 2025","passed","Wed Aug 06 07:59:58 GMT 2025","EntityService Tests","Typescript Client","",""
"","1","bulkSaveObjectWithMultipleIds()","Structures Core","Wed Aug 06 07:57:38 GMT 2025","broken","Wed Aug 06 07:57:38 GMT 2025","","org.kinotic.structures.entity.BulkUpdateTests","org.kinotic.structures.entity.BulkUpdateTests","bulkSaveObjectWithMultipleIds"
"","0","testFindByIdsNoneFound()","Structures Core","Wed Aug 06 07:57:38 GMT 2025","broken","Wed Aug 06 07:57:38 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindByIdsNoneFound"
"","1","findMissingEntity()","Structures Core","Wed Aug 06 07:57:38 GMT 2025","broken","Wed Aug 06 07:57:38 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","findMissingEntity"
"","1","testCountByQuery()","Structures Core","Wed Aug 06 07:57:38 GMT 2025","broken","Wed Aug 06 07:57:38 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCountByQuery"
"","1","testSearch()","Structures Core","Wed Aug 06 07:57:38 GMT 2025","broken","Wed Aug 06 07:57:38 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testSearch"
"","6890","Test Basic CRUD","End To End Tests","Wed Aug 06 08:00:02 GMT 2025","passed","Wed Aug 06 08:00:09 GMT 2025","Versioned Tests","Typescript Client","",""
"","0","testPolicyEvaluatorWithFailedOperations()","Structures Core","Wed Aug 06 07:57:38 GMT 2025","passed","Wed Aug 06 07:57:38 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithFailedOperations"
"","1908","Test FindByIds","End To End Tests","Wed Aug 06 07:59:48 GMT 2025","passed","Wed Aug 06 07:59:50 GMT 2025","Admin EntityService Tests","Typescript Client","",""
